genotype,ratio,k_1_fold,k_3_fold,k_5_0_fold,k_1,k_2,k_3,k_5_0,peak,time_to_peak,relax_half_time,srx_rest,srx_peak
Control,10,0.1,0.1,0.1,0.560576,5.60576,2.51417,24.0526,144.596873197363,0.1785,0.0830000000000001,0.918571628671675,0.912944412452337
Control,10,0.1,0.1,0.316227766016838,0.560576,5.60576,2.51417,76.060999648966,379.809108790126,0.1695,0.0850000000000001,0.918321948728559,0.911891265586192
Control,10,0.1,0.1,1,0.560576,5.60576,2.51417,240.526,797.022209016084,0.157,0.0890000000000001,0.917922872724111,0.910125382879817
Control,10,0.1,0.1,3.16227766016838,0.560576,5.60576,2.51417,760.60999648966,1291.13276226441,0.148,0.0890000000000001,0.917483035097602,0.907929574711847
Control,10,0.1,0.1,10,0.560576,5.60576,2.51417,2405.26,1723.07528077919,0.144,0.0870000000000001,0.917118114759593,0.905926264333521
Control,10,0.1,0.316227766016838,0.1,0.560576,5.60576,7.95050362486553,24.0526,271.388045606494,0.2175,0.0940000000000001,0.915238205963673,0.897782873962565
Control,10,0.1,0.316227766016838,0.316227766016838,0.560576,5.60576,7.95050362486553,76.060999648966,758.530364620672,0.209,0.0910000000000001,0.91439875163576,0.895053406767417
Control,10,0.1,0.316227766016838,1,0.560576,5.60576,7.95050362486553,240.526,1736.74610009134,0.1965,0.0870000000000001,0.913050695705831,0.890014496499036
Control,10,0.1,0.316227766016838,3.16227766016838,0.560576,5.60576,7.95050362486553,760.60999648966,2979.93923945284,0.188,0.0810000000000001,0.911565299367505,0.883613562612661
Control,10,0.1,0.316227766016838,10,0.560576,5.60576,7.95050362486553,2405.26,4078.48363316005,0.1845,0.0760000000000001,0.91034059594715,0.878052480885723
Control,10,0.1,1,0.1,0.560576,5.60576,25.1417,24.0526,373.153489357785,0.2805,0.209,0.902271357996317,0.86572818465278
Control,10,0.1,1,0.316227766016838,0.560576,5.60576,25.1417,76.060999648966,1092.29447190908,0.269,0.195,0.899141303363275,0.858596215259338
Control,10,0.1,1,1,0.560576,5.60576,25.1417,240.526,2716.46959720295,0.2515,0.178,0.893896204688576,0.846146740463983
Control,10,0.1,1,3.16227766016838,0.560576,5.60576,25.1417,760.60999648966,4965.60469974993,0.2405,0.155,0.888095131156749,0.831061956491578
Control,10,0.1,1,10,0.560576,5.60576,25.1417,2405.26,6991.55018559756,0.2355,0.138,0.883487151421161,0.818448552292765
Control,10,0.1,3.16227766016838,0.1,0.560576,5.60576,79.5050362486553,24.0526,960.298188052273,0.953999999999953,NaN,0.85026781858965,0.780260012311303
Control,10,0.1,3.16227766016838,0.316227766016838,0.560576,5.60576,79.5050362486553,76.060999648966,2832.42850523934,0.960499999999952,NaN,0.842096875513115,0.741660207514789
Control,10,0.1,3.16227766016838,1,0.560576,5.60576,79.5050362486553,240.526,7085.14819118649,0.963999999999951,NaN,0.824841574987906,0.682587002760395
Control,10,0.1,3.16227766016838,3.16227766016838,0.560576,5.60576,79.5050362486553,760.60999648966,12693.8460219778,0.960499999999952,NaN,0.804134824146754,0.637767813884744
Control,10,0.1,3.16227766016838,10,0.560576,5.60576,79.5050362486553,2405.26,16831.5483520611,0.953499999999952,NaN,0.788515967623309,0.619350042172285
Control,10,0.1,10,0.1,0.560576,5.60576,251.417,24.0526,1637.13415781067,0.97499999999995,NaN,0.777113198248822,0.604351641342423
